Affiliation,Country
aarhus university,丹麦
academia sinica,中国台湾
ajinomoto,日本
alcatel lucent,法国
american association for the advancement of science,美国
argonne national laboratory,美国
at t,美国
australian national university,澳大利亚
baylor college of medicine,美国
bell labs,美国
birkbeck university of london,英国
british rayon research association,英国
brookhaven national laboratory,美国
california institute of technology,美国
carnegie institution for science,美国
carnegie learning,美国
carnegie mellon university,美国
center for advanced materials,美国
centre national de la recherche scientifique,法国
ciba specialty chemicals,瑞士
city university of new york,美国
college de france,法国
college of science and technology,不确定
columbia university,美国
cornell university,美国
darmstadt university of applied sciences,德国
darpa,美国
dow chemical company,美国
duke university,美国
dupont,美国
durham university,英国
ecole polytechnique,法国
ecole polytechnique federale de lausanne,瑞士
electronics research center,美国
environ,美国
eth zurich,瑞士
facultad de ciencias exactas y naturales,阿根廷
facultad de ciencias medicas,阿根廷
florida state university,美国
fox chase cancer center,美国
free university of berlin,德国
general electric,美国
glaxosmithkline,英国
gwangju institute of science and technology,韩国
harvard university,美国
hauptman woodward medical research institute,美国
heidelberg university,德国
hercules inc,美国
herzberg institute of astrophysics,加拿大
hoffmann la roche,瑞士
hokkaido university,日本
howard hughes medical institute,美国
ibm,美国
icahn school of medicine at mount sinai,美国
imperial college london,英国
institut de chimie des substances naturelles,法国
institut francais,法国
institute of biophysics,不确定
institute of chemical technology,不确定
instituto politecnico nacional,墨西哥
janelia farm research campus,美国
johns hopkins university,美国
kansai university,日本
karlsruhe institute of technology,德国
karolinska institutet,瑞典
kurashiki university of science and the arts,日本
kyoto university,日本
kyushu university,日本
laboratory of molecular biology,英国
lawrence berkeley national laboratory,美国
lawrence livermore national laboratory,美国
leipzig university,德国
lister institute of preventive medicine,英国
los alamos national laboratory,美国
louis pasteur university,法国
ludwig institute for cancer research,瑞士
ludwig maximilian university of munich,德国
marine biological laboratory,美国
massachusetts institute of technology,美国
max planck society,德国
medical research council,英国
meijo university,日本
mellon institute of industrial research,美国
michigan state university,美国
monsanto,美国
mount holyoke college,美国
nagoya city university,日本
nagoya university,日本
national institute for medical research,英国
national institute of advanced industrial science and technology,日本
national institute of standards and technology,美国
national institutes of health,美国
national physical laboratory,英国
national research council,加拿大
new york university,美国
northwestern university,美国
norwich university,美国
okayama university of science,日本
osaka institute of technology,日本
pfizer,美国
polytechnic university of milan,意大利
princeton university,美国
purdue university,美国
queen s university,加拿大
rensselaer polytechnic institute,美国
rice university,美国
rockefeller university,美国
rowett research institute,英国
royal dutch shell,荷兰
royal institution,英国
saga group,不确定
saint mary s college of california,美国
salk institute for biological studies,美国
sapienza university of rome,意大利
scripps research institute,美国
siberian federal university,俄罗斯
spanish national research council,西班牙
stanford university,美国
stockholm university,瑞典
stony brook university,美国
technion israel institute of technology,以色列
technische hochschule,德国
technische universitat munchen,德国
texas a m university,美国
tohoku university,日本
tokyo institute of technology,日本
trinity college,英国
united states atomic energy commission,美国
united states naval research laboratory,美国
united states public health service,美国
universite libre de bruxelles,比利时
university of aberdeen,英国
university of akron,美国
university of antwerp,比利时
university of birmingham,英国
university of british columbia,加拿大
university of california berkeley,美国
university of california davis,美国
university of california irvine,美国
university of california los angeles,美国
university of california riverside,美国
university of california san diego,美国
university of california san francisco,美国
university of california santa barbara,美国
university of cambridge,英国
university of cape town,南非
university of chicago,美国
university of colorado boulder,美国
university of connecticut,美国
university of copenhagen,丹麦
university of delaware,美国
university of east anglia,英国
university of edinburgh,英国
university of florida,美国
university of freiburg,德国
university of geneva,瑞士
university of glasgow,英国
university of gottingen,德国
university of kansas,美国
university of leeds,英国
university of liverpool,英国
university of london,英国
university of lyon,法国
university of michigan,美国
university of milan,意大利
university of minnesota,美国
university of nice sophia antipolis,法国
university of north carolina at chapel hill,美国
university of oslo,挪威
university of oxford,英国
university of pennsylvania,美国
university of pittsburgh,美国
university of rochester,美国
university of saskatchewan,加拿大
university of sheffield,英国
university of southern california,美国
university of st andrews,英国
university of stuttgart,德国
university of sussex,英国
university of texas at austin,美国
university of texas at dallas,美国
university of texas southwestern medical center,美国
university of toledo medical center,美国
university of toronto,加拿大
university of tsukuba,日本
university of tubingen,德国
university of washington,美国
university of western ontario,加拿大
university of zurich,瑞士
uppsala university,瑞典
vanderbilt university,美国
virginia commonwealth university,美国
washington university in st louis,美国
wilmington university,美国
woodward inc,美国
yale university,美国
yerkes national primate research center,美国
yeungnam university,韩国
